equipo_ganador,equipo_primera_sangre,asesinatos_dif,asistencias_dif,nivel_dif,minions_dif,torretas_dif,dragones_dif,heraldos_dif
0,1,-1,-3,-0.40000000000000036,-16,0,-1,0
1,1,0,-5,-0.20000000000000018,-41,0,0,0
1,0,-2,3,-0.20000000000000018,-36,0,-1,0
1,1,-5,-5,-0.6000000000000005,-26,0,1,0
1,0,1,0,0.0,-7,0,0,0
1,1,0,-1,-0.40000000000000036,10,0,-1,1
0,0,0,-4,-0.20000000000000018,-18,0,-1,1
0,1,-2,-5,0.0,-26,0,1,1
0,0,6,6,-0.40000000000000036,-49,0,0,1
1,0,-1,-4,0.0,-2,0,-1,0
0,1,8,11,0.0,-55,0,0,1
0,0,2,5,0.0,5,0,1,0
1,1,1,1,-0.20000000000000018,-9,0,1,0
0,0,3,-1,0.39999999999999947,42,0,-1,0
0,0,6,5,0.40000000000000036,52,0,-1,0
1,0,-3,-6,-0.7999999999999998,-39,0,-1,-1
1,0,-4,-4,-0.6000000000000005,-37,0,-1,-1
0,0,2,-4,0.20000000000000018,31,0,1,0
0,1,-2,3,0.0,-9,-1,-1,0
1,1,-3,-8,0.0,3,0,1,0
0,0,3,8,0.20000000000000018,6,0,0,0
1,0,1,4,-0.5999999999999996,13,0,-1,0
0,1,5,-3,0.8000000000000007,-15,0,0,0
1,1,8,6,1.2000000000000002,16,0,0,1
1,0,-2,0,-0.40000000000000036,-42,-1,-1,-1
0,0,5,5,0.40000000000000036,-22,0,1,0
1,1,3,3,0.20000000000000018,21,0,1,1
0,0,2,-2,0.40000000000000036,-18,0,0,0
0,0,2,2,-0.39999999999999947,27,0,0,0
1,0,3,7,0.0,-30,0,1,-1
0,0,2,-2,0.40000000000000036,-11,0,-1,0
1,0,-1,0,-0.40000000000000036,-55,-1,1,-1
1,0,3,4,0.20000000000000018,10,0,1,0
1,1,-3,-3,-0.40000000000000036,-12,0,1,0
1,0,3,2,0.20000000000000018,13,0,1,1
1,0,3,3,0.20000000000000018,-3,0,1,0
1,1,1,2,0.0,-31,0,1,0
0,1,-3,-4,0.0,21,1,-1,1
1,0,-3,1,-0.8000000000000007,-67,-1,1,-1
1,1,-4,-4,-0.40000000000000036,-31,0,0,0
0,1,-2,-2,-0.6000000000000005,-88,0,-1,0
0,0,3,9,0.0,-77,0,-1,0
0,1,5,12,0.20000000000000018,-58,0,1,0
1,1,-4,-8,0.0,-6,0,-1,0
1,0,-3,-2,-0.40000000000000036,30,0,0,0
1,1,3,8,0.20000000000000018,11,0,1,0
0,0,-2,-8,-0.40000000000000036,-68,0,0,0
1,0,0,-3,-0.7999999999999998,-6,0,1,0
1,0,-2,-4,-0.5999999999999996,-18,0,1,0
1,1,-3,-2,-0.8000000000000007,-68,0,-1,0
0,0,1,-4,0.20000000000000018,28,1,1,1
1,1,-4,-3,0.0,-7,0,-1,-1
0,1,2,-2,-0.20000000000000018,3,0,-1,0
1,1,-5,-7,-0.20000000000000018,-34,0,0,-1
0,0,-2,-2,-0.6000000000000005,14,0,1,1
1,0,-4,-9,-0.39999999999999947,-23,0,0,0
1,0,-3,-6,0.0,48,0,-1,1
0,0,1,-1,0.6000000000000005,6,0,0,0
1,1,-1,-4,0.20000000000000018,11,0,0,1
1,1,-3,-7,-0.20000000000000018,-23,0,-1,1
0,0,-1,0,-0.40000000000000036,-26,0,-1,0
1,1,0,-3,-0.40000000000000036,-7,0,1,0
1,1,1,0,0.40000000000000036,10,0,0,1
1,1,-8,-12,-1.1999999999999993,-16,0,-1,-1
1,0,-1,2,0.0,9,0,1,-1
1,0,-4,-6,-0.20000000000000018,-18,0,1,0
0,0,7,9,0.40000000000000036,38,0,0,0
1,1,-1,-5,-0.20000000000000018,-18,0,-1,1
0,0,-6,-6,-1.0,-15,0,1,0
1,0,0,3,0.40000000000000036,26,0,-1,1
0,0,0,1,0.20000000000000018,52,0,0,0
0,0,1,4,-0.20000000000000018,1,0,1,1
1,1,-1,-1,-1.0,-29,0,1,0
1,0,-2,-6,-0.20000000000000018,-9,0,-1,0
0,0,7,9,0.40000000000000036,43,0,1,0
0,1,2,2,0.40000000000000036,27,0,-1,-1
0,0,1,-1,-0.39999999999999947,-6,0,-1,0
0,1,1,0,0.20000000000000018,9,0,-1,0
0,1,-2,-7,0.40000000000000036,51,0,-1,1
1,0,-2,-3,-0.40000000000000036,-31,0,-1,0
1,1,-2,-7,-0.40000000000000036,-34,0,-1,1
1,1,3,6,-0.20000000000000018,28,0,0,-1
1,0,0,2,-0.20000000000000018,-10,0,-1,1
0,1,-9,-13,-0.39999999999999947,68,0,-1,1
1,0,-4,-2,-0.5999999999999996,2,0,-1,0
1,0,-7,-6,-1.0,1,0,0,0
1,0,-7,-11,-0.20000000000000018,-4,0,1,0
0,1,-1,0,-0.20000000000000018,-18,0,-1,-1
0,0,8,3,0.8000000000000007,16,0,-1,1
1,0,1,3,0.6000000000000005,20,0,-1,1
1,0,0,-1,0.20000000000000018,31,0,1,0
1,0,1,5,0.0,17,0,-1,0
1,1,-1,-1,-0.20000000000000018,7,0,-1,0
